sabor,opinion
vainilla,Me encanta su suavidad y dulzura
café,Demasiado amargo para mi gusto
fresa,Un clásico siempre refrescante
chocolate,El mejor sabor de todos
limón,Ácido pero muy refrescante
menta,No me gusta la combinación con chocolate
caramelo,Demasiado empalagoso
coco,Suave y delicioso me recuerda al verano
nuez,Me gusta el toque crocante
mango,Muy tropical me encanta
fresa,Un poco artificial el sabor
vainilla,Demasiado simple para mí
chocolate,Perfecto lo pediría siempre
limón,No me gusta lo ácido
caramelo,Delicioso y dulce
café,Tiene un sabor fuerte que disfruto
menta,Lo detesto sabe a pasta de dientes
nuez,Delicado y sabroso
coco,Me da textura rara en la boca
mango,Riquísimo me recuerda a mi infancia
vainilla,Ideal para acompañar pasteles
fresa,Muy natural me gustó
caramelo,Demasiado dulce empalaga rápido
limón,Refrescante en un día caluroso
chocolate,No tan bueno como esperaba
café,Lo prefiero caliente no en helado
menta,Agradable pero no lo comería siempre
nuez,Sabor sutil pero muy bueno
mango,Me fascina lo afrutado que es
fresa,Excelente sabe a fruta fresca
vainilla,Clásico nunca decepciona
coco,Un poco extraño al inicio pero rico
caramelo,Me agrada mucho su dulzura
limón,Ideal para días calurosos
chocolate,Simplemente increíble
menta,No es mi estilo
nuez,Me sorprendió muy sabroso
café,Buen sabor aunque no es mi favorito
mango,Fresco y delicioso
fresa,Me encanta su aroma
vainilla,Demasiado común pero bueno
coco,Sabor diferente pero agradable
caramelo,Perfecto para quienes aman lo dulce
chocolate,Mi favorito desde niño
limón,Lo encontré muy ácido
menta,Curioso pero no repetiría
nuez,Me gusta que tenga pedacitos
café,Amargo pero interesante
mango,El mejor sabor tropical
fresa,Rico aunque un poco dulce de más
vainilla,El más versátil de todos
